"Two Factor Authentication", "Zwei-Faktor-Authentifizierung"
"Use Google Authenticator","Benutze App Google Authenticator"
"<small>When using the Two Factor Authentication, a 6-digit code needs to be entered in addition to username and password during login. Two Factor Authentication Google provides the Authenticator app for Android, BlackBerry and iOS.</small>", "<small>Wenn die Zwei-Faktor-Authentifizierung benutzt wird, muss während des Logins ein 6stelliger Code zusätzlich zu Benutzername und Password. Für die Zwei-Faktor-Authentifizierung stellt Google die Authenticator App für Android, BlackBerry und iOS bereit.</small>"
"Re-enter admin password","Wiedereingabe Admin-Passwort"
"Resource Id","Resource Id"
"Add Protected Resource","Add Protected Resource"
"Force security code on next login","Erzwinge Bestätigungscode beim nächsten Login"
"Are you sure you want to force security code on next login?","Sind Sie sicher, dass Sie beim nächsten Login die Eingabe des Bestätigungscodes erzwingen möchten?"
"Reset authentication completely","Authentifizierungsinformationen  zurücksetzen"
"Are you sure you want to reset authentication completely?","Sind Sie sicher, dass die Authentifizierungsinformationen komplett zurückgesetzt werden sollen?"
"Two-Factor Authentication","Zwei-Faktor-Authentifizierung"
"Two-Factor Authentication Setup","Einrichtung Zwei-Faktor-Authentifizierung"
"Invalid security code.","Ungültiger Bestätigungscode."
"Security code will be required on next login.","Bestätigungscode wird beim nächsten Login benötigt werden."
"An error occurred while forcing security code on next login.","Während des Erzwingens des Bestätigungscodes beim nächsten Login ist ein Fehler aufgetreten."
"Unknown question.","Unbekannte Frage."
"Please enter your answer to the secret question.","Bitte geben Sie die Antwort auf die Sicherheitsfrage ein."
"Cannot load the secret question.","Die Sicherheitsfrage kann nicht geladen werden."
"Answer to the secret question is invalid.","Die Antwort der Sicherheitsfrage ist ungültig."
"The last one-time question was used. Please generate new secret questions.","Die letzte Einweg-Sicherheitsfrage ist aufgebraucht. Bitte generieren Sie neue Sicherheitsfragen."
"An error occurred while saving the security code.","Während des Speichern des Bestätigungscodes ist ein Fehler aufgetreten."
"Invalid security code.","Ungültiger Bestätigungscode."
"Secret questions with empty question or answer cannot be saved.","Sicherheitsfragen mit einer leeren Frage oder Antwort können nicht gespeichert werden."
"At least one secret question is required.","Mindestens eine Sicherheitsfrage wird benötigt."
"The secret questions have been saved.","Die Sicherheitsfrage wurde gespeichert."
"An error occurred while saving the secret questions.","Während des Speichern der Sicherheitsfragen ist ein Fehler aufgetreten."
"Two-Factor Authentication is not configured so cannot be reset.","Zwei-Faktor-Authentifizierung kann nicht zurück gesetzt werden, da es nicht konfiguriert ist."
"Two-Factor Authentication has been reset.","Zwei-Faktor-Authentifizierung wurde zurückgesetzt."
"An unexpected error occurred while resetting the Two-Factor Authentication.","Ein unerwarteter Fehler ist beim Zurücksetzen der Zwei-Faktor-Authentifizierung aufgetreten."
"The secret code you entered was invalid.","Der eingegebene Bestätigungscode ist ungültig."
"The subscription has been saved.","Die Funktion wurde aktiviert."
"The subscription has been removed.","Die Funktion wurde deaktiviert."
"An error occurred while saving your settings.","Beim Speichern der Einstellungen ist ein Fehler aufgetreten."
"The secret code you entered was invalid. Please try again.","Der eingegebene Bestätigungscode ist ungültig. Bitte versuchen Sie es erneut."
"abort","abbrechen"
"Enable Two Factor Authentication","Aktiviere Zwei-Faktor-Authentifizierung"
"Force Two Factor Authentication for all backend users","Erzwinge Zwei-Faktor-Authentifizierung für alle Backendnutzer"
"Require Two Factor Authentication for all backend users regardless of their permissions.","Erzwinge Zwei-Faktor-Authentifizierung für alle Backendnutzer ohne Rücksicht auf deren tatsächlichen Rechte."
"Enable Two Factor Authenticator for customers","Aktiviere Zwei-Faktor-AuthentifizierungZwei-Faktor-Authentifizierung für Kunden"
"Please enter Google Authenticator verification code","Bitte Bestätigungscode von Google Authenticator eingeben"
"Security Code","Bestätigungscode"
"Use a One Time Security Question","Benutze Einweg-Sicherheitsfrage"
"Submit Code","Bestätigungscode absenden"
"Two-Factor Authentication Setup","Zwei-Faktor-Authentifizierung Einstellungen"
"Reset Two-Factor Authentication","Zwei-Faktor-Authentifizierung zurücksetzen"
"Reset","Zurücksetzen"
"QR Code","QR Code"
"Enter key manually","Einmalkennwort manuell eingeben"
"Account Name: %s","Benutzerkonto: %s"
"Key: ","Einmalkennwort: "
"Type: Time-based","Typ: zeitbasiert"
"Scan the QR code into Google Authenticator, then enter the code here and click save.","Scannen Sie den QR-Code (bspw. mit Google Authenticator). Danach geben Sie bitte hier den Code ein und klicken Sie <em>Speichern</em>."
"Do not require 2-Factor-Authentication on this computer in the future. (Do not use this feature on public computers.)","Auf diesem Computer wird zukünftig keine Zwei-Faktor-Authentifizierung benötigt (<strong>nicht</strong> für öffentliche Computer empfohlen)."
"Two-Factor Authentication protects your account from unauthorized access by requiring a second authentication method. In this case the second method is a Time-based One Time Password (TOTP).","Zwei-Faktor-Authentifizierung schützt Ihr Benutzerkonto vor unbefugten Zugriff durch eine zweite Authentifizierungsmethode. In diesem Fall ist die zweite Authentifizierungsmethode ein zeitbasiertes Einmalkennwort (Time-based One Time Password - TOTP)."
"Google Authenticator is a general-purpose app which provides TOTP codes. It does not require a Google account, but does require a compatible device. Other TOTP applications compatible with Google Authenticator should work as well.","Google Authenticator ist eine allgemein verwendbare App, die diese Einmalkennwörter bereitstellt."
"After the initial setup is complete you will need to use the app to enter the 6-digit TOTP when authenticating on unrecognized computers.","Nach der initialen Einrichtung wird die Authenticator App benötigt, um beim Login von unbekannten Computern einen 6stelliges Einmalkennwort einzugeben."
"Choosing <em>Remember Me</em> will set a cookie which will prevent you from having to enter the TOTP again on this device/browser, but authenticating on other devices/browsers will still require the TOTP.","Bei der Wahl von <em>Angemeldet bleiben</em> wird ein Cookie gespeichert, welches verhindert, dass in diesem Gerät/Browser weiterhin Einmalkennwörter eingegeben werden müssen. Authentifizierung von anderen Geräten/Browsern werden weiterhin Einmalkennwörter benötigen."
"Install Google Authenticator or a similar app if you have not done so already.","Installieren Sie die Google Authenticator App oder eine ähnliche App, sollten Sie dies noch nicht getan haben."
"Choose <em>Set up account</em> (or equivalent) and either scan the barcode above or click <em>Enter key manually</em> to display a key which may be entered using the keyboard.","Erstellen Sie in der App ein neues Konto (bspw. Menü -> Konto einrichten -> Barcode scannen) und scannen Sie den Barcode oben ein. Alternativ wählen Sie <em>Code manuell eingeben</em> um einen Code zu generieren, den Sie über Ihre Tastatur eingeben können."
"Enter the 6-digit TOTP code for the newly added account above and click <em>Save</em>.","Geben Sie das 6stellige Einmalkennwort für das neu erstellte Konto ein und klicken Sie auf <em>Speichern</em>."
"Note: This additional level of security does not replace the need for a strong and secret password and proper precautions to keep your account credentials secure should always be taken seriously.","Hinweis: Diese zusätzliche Ebene von Sicherheit ersetzt nicht die Notwendigkeit eines starken und sicheren Passwortes. Entsprechende Vorsichtsmaßnahmen, um Ihre Anmeldeinformationen zu sichern, sollten immer ernst genommen werden."
"Single-Use Backup Questions","Einweg-Sicherheitsfragen"
"What is this?","Was ist das?"
"In the case that your TOTP app (e.g. Google Authenticator) becomes inoperable or is inaccessible you may use a secret question/answer pair to bypass the TOTP.","In dem Fall, dass Ihre App für die Einmalkennwörter (bspw. Google Authenticator) nicht (mehr) zur Verfügung steht oder es Ihnen nicht möglich ist, diese zu nutzen, benötigen Sie eine Sicherheitsfrage &amp; -antwort, um das Einmalkennwort zu ersetzen."
"Use only very secure questions and answers, or generate random answers and store them in a secure location and do not store them alongside your full account credentials.","Benutzen Sie nur sehr sichere Fragen und Antworten. Alternativ generieren Sie zufällige Antworten und bewahren diese an einem sicheren Ort auf. Speichern Sie diese auf keinem Fall bei den Zugangsdaten zu Ihrem Benutzerkonto."
"The Answer to the Question will never be stored or displayed in plain-text.","Die Antwort zu der Frage wird nie im Klartext angezeigt und verschlüsselt gespeichert."
"Please enter your answer","Bitte geben Sie Ihre Antwort ein."
"Question:","Frage:"
"Answer:","Antwort:"
"Answer","Antwort"
"Back to Login","Zurück zum Login"
"Submit Answer","Antwort absenden"
"Question","Frage"
"Generate random question/answer","Erstelle zufällige Frage/Antwort"
"Maximum length for the questions and answers is 100 symbols. At least one secret question is required.","Die maximale Länge für Fragen und Antworten beträgt jeweils 100 Zeichen. Mindestens eine Sicherheitsfrage wird benötigt."
"One Time Secret Question should be recorded somewhere for safe-keeping.","Einweg-Sicherheitsfragen sollten sicher aufbewahrt werden."
"Please enter Google Authenticator verification code","Bitte geben Sie Ihren Bestätigungscode (bspw. aus Google Authenticator App) ein."
"Code:","Einmalkennwort:"
"Verify Code","Einmalkennwort überprüfen"
"To configure a 2fa app, simply scan the QR code below and enter the code below.","Um die App für die Zwei-Faktor-Authentifizierung zu konfigurieren, scannen Sie folgenden QR-Code ein und geben Sie den Code ein, den Sie darauf erhalten."
"You have been logged out.","Sie wurden abgemeldet."
"Reset user authentication","Authentifizierung für Benutzer zurücksetzen"
"Submit Password","Passwort übermitteln"
"The password was successfully verified.","Das Passwort wurde erfolgreich überprüft."
"Customer not found","Der Kunde konnte nicht gefunden werden"
"Token resetted", "Token zurückgesetzt"
"Error while saving Customer: %s","Während des Speichern des Kunden ist ein Fehler aufgetreten: %s"
"Reset customer authentication","Authentifizierung wurde für Kunden zurückgesetzt"
"Access Denied. Please reauthenticate with your password.","Zugriff verweigert. Bitte Admin-Password neu eingeben."
"Settings","Einstellungen"
"Enable","Aktivieren"
"Configure","Konfigurieren"
"Verification code","Bestätigungscode"
"The Two-Factor authentication is an optional but highly recommended security feature that adds an extra layer of security to your customer account. Once enabled, you will be required to enter a six-digit security code in addition to your password whenever you sign in to your account.<br />If you want to use this functionality, please install Google Authenticator on your Smartphone or Tablet.","Die Zwei-Faktor Authentifizierung ist eine optionale, aber eine empfehlenswerte Sicherheitsfunktion, mit der Ihr Kundenkonto zusätzlich geschützt wird. Wenn Sie diese Option auswählen ist, zusätzlich zur Eingabe des Passwortes, jedes Mal die Eingabe eines sechsstelligen Sicherheitscodes erforderlich, wenn Sie sich in unserem Online-Shop anmelden.<br />Um die Funktion zu nutzen, installieren Sie Google Authenticator auf ihrem Smartphone oder Tablet."